"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"received_aid","gender_head","0","female",0.911278723958388,NA,0.894748680412501,0.927808767504276,"all","all"
"received_aid","gender_head","1","female",0.0887212760416115,NA,0.0721912324957241,0.105251319587499,"all","all"
"received_aid","gender_head","0","male",0.939575471307011,NA,0.934934242927219,0.944216699686804,"all","all"
"received_aid","gender_head","1","male",0.0604245286929886,NA,0.0557833003131959,0.0650657570727813,"all","all"
"received_aid_cash","gender_head","0","female",0.581096328099287,NA,0.507078424252945,0.655114231945628,"all","all"
"received_aid_cash","gender_head","1","female",0.418903671900713,NA,0.344885768054372,0.492921575747055,"all","all"
"received_aid_cash","gender_head","0","male",0.54241612906974,NA,0.51100773618387,0.573824521955611,"all","all"
"received_aid_cash","gender_head","1","male",0.45758387093026,NA,0.42617547804439,0.488992263816131,"all","all"
"received_aid_food","gender_head","0","female",0.336603581392379,NA,0.269288950211436,0.403918212573323,"all","all"
"received_aid_food","gender_head","1","female",0.663396418607621,NA,0.596081787426677,0.730711049788564,"all","all"
"received_aid_food","gender_head","0","male",0.404667840635149,NA,0.375344005886939,0.433991675383358,"all","all"
"received_aid_food","gender_head","1","male",0.595332159364851,NA,0.566008324616642,0.624655994113061,"all","all"
"received_aid_water","gender_head","0","female",0.975126465003648,NA,0.964051674856225,0.986201255151071,"all","all"
"received_aid_water","gender_head","1","female",0.024873534996352,NA,0.0137987448489294,0.0359483251437746,"all","all"
"received_aid_water","gender_head","0","male",0.985828979557344,NA,0.979366055765584,0.992291903349105,"all","all"
"received_aid_water","gender_head","1","male",0.0141710204426558,NA,0.00770809665089554,0.0206339442344161,"all","all"
"received_aid_fuel","gender_head","1","female",0,NA,0,0,"all","all"
"received_aid_fuel","gender_head","0","male",0.991223202136737,NA,0.984446302802283,0.99800010147119,"all","all"
"received_aid_fuel","gender_head","1","male",0.00877679786326329,NA,0.00199989852880974,0.0155536971977168,"all","all"
"received_aid_shelter","gender_head","0","female",0.982790382581381,NA,0.97352606065191,0.992054704510853,"all","all"
"received_aid_shelter","gender_head","1","female",0.0172096174186187,NA,0.00794529548914726,0.0264739393480902,"all","all"
"received_aid_shelter","gender_head","0","male",0.996847237563132,NA,0.994195214181277,0.999499260944987,"all","all"
"received_aid_shelter","gender_head","1","male",0.00315276243686768,NA,0.000500739055012693,0.00580478581872267,"all","all"
"received_aid_seasonal_items","gender_head","0","female",0.984901537241338,NA,0.960305042983446,1.00949803149923,"all","all"
"received_aid_seasonal_items","gender_head","1","female",0.015098462758662,NA,-0.0094980314992297,0.0396949570165537,"all","all"
"received_aid_seasonal_items","gender_head","0","male",0.991493895614825,NA,0.986500772390161,0.996487018839489,"all","all"
"received_aid_seasonal_items","gender_head","1","male",0.00850610438517499,NA,0.00351298116051098,0.013499227609839,"all","all"
"received_aid_other_nfi","gender_head","1","female",0,NA,0,0,"all","all"
"received_aid_other_nfi","gender_head","0","male",0.997222990439986,NA,0.994778447377849,0.999667533502124,"all","all"
"received_aid_other_nfi","gender_head","1","male",0.00277700956001358,NA,0.000332466497875809,0.00522155262215136,"all","all"
"received_aid_protection","gender_head","0","female",0.997640632266781,NA,0.993747399894445,1.00153386463912,"all","all"
"received_aid_protection","gender_head","1","female",0.00235936773321932,NA,-0.00153386463911648,0.00625260010555511,"all","all"
"received_aid_protection","gender_head","0","male",0.991902364881601,NA,0.985938357096644,0.997866372666558,"all","all"
"received_aid_protection","gender_head","1","male",0.00809763511839855,NA,0.00213362733344161,0.0140616429033555,"all","all"
"received_aid_education","gender_head","0","female",0.866109872570307,NA,0.830776432118494,0.901443313022121,"all","all"
"received_aid_education","gender_head","1","female",0.133890127429693,NA,0.0985566869778788,0.169223567881506,"all","all"
"received_aid_education","gender_head","0","male",0.841648763627394,NA,0.816332976039952,0.866964551214836,"all","all"
"received_aid_education","gender_head","1","male",0.158351236372606,NA,0.133035448785164,0.183667023960048,"all","all"
"received_aid_healthcare","gender_head","0","female",0.962592670437349,NA,0.945987165490002,0.979198175384695,"all","all"
"received_aid_healthcare","gender_head","1","female",0.0374073295626515,NA,0.0208018246153053,0.0540128345099976,"all","all"
"received_aid_healthcare","gender_head","0","male",0.952727531443512,NA,0.943415875720727,0.962039187166297,"all","all"
"received_aid_healthcare","gender_head","1","male",0.0472724685564877,NA,0.0379608128337028,0.0565841242792727,"all","all"
"received_aid_none","gender_head","1","female",0,NA,0,0,"all","all"
"received_aid_none","gender_head","1","male",0,NA,0,0,"all","all"
"aid_satisfaction","gender_head","0","female",0.318411001053283,NA,0.238658456476373,0.398163545630193,"all","all"
"aid_satisfaction","gender_head","1","female",0.681588998946717,NA,0.601836454369807,0.761341543523627,"all","all"
"aid_satisfaction","gender_head","0","male",0.368128508687218,NA,0.334027427039843,0.402229590334592,"all","all"
"aid_satisfaction","gender_head","1","male",0.631871491312782,NA,0.597770409665408,0.665972572960157,"all","all"
"critical_shelter","gender_head","0","female",0.866599022482619,NA,0.843799408084172,0.889398636881066,"all","all"
"critical_shelter","gender_head","1","female",0.133400977517381,NA,0.110601363118934,0.156200591915828,"all","all"
"critical_shelter","gender_head","0","male",0.887989427995261,NA,0.879057007204978,0.896921848785545,"all","all"
"critical_shelter","gender_head","1","male",0.112010572004739,NA,0.103078151214455,0.120942992795022,"all","all"
"shelter.shelter_type","gender_head","damaged_habitual","female",0.0938200381706199,NA,0.0598791156777306,0.127760960663509,"all","all"
"shelter.shelter_type","gender_head","damaged_rental","female",0.0708731444366951,NA,0.0443555695315916,0.0973907193417985,"all","all"
"shelter.shelter_type","gender_head","good_habitual","female",0.439148572231139,NA,0.381405975367802,0.496891169094476,"all","all"
"shelter.shelter_type","gender_head","good_rental","female",0.169468047689637,NA,0.13747653957038,0.201459555808894,"all","all"
"shelter.shelter_type","gender_head","host_family","female",0.0661046509359262,NA,0.0350133366233654,0.0971959652484869,"all","all"
"shelter.shelter_type","gender_head","hotel","female",0.00524635809512668,NA,0.000753857285644826,0.00973885890460853,"all","all"
"shelter.shelter_type","gender_head","makeshift_shelter","female",0.00582743095939568,NA,0.00152098171234991,0.0101338802064414,"all","all"
