"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"received_aid","population_group","0","idp_out_camp",0.785888894589344,NA,0.733433869393793,0.838343919784895,"governorate","al.sulaymaniyah"
"received_aid","population_group","1","idp_out_camp",0.214111105410656,NA,0.161656080215105,0.266566130606207,"governorate","al.sulaymaniyah"
"received_aid","population_group","0","idp_out_camp",0.816666666666667,NA,0.733806770797249,0.899526562536084,"governorate","babil"
"received_aid","population_group","1","idp_out_camp",0.183333333333333,NA,0.100473437463916,0.266193229202751,"governorate","babil"
"received_aid","population_group","0","idp_in_camp",0.584589614740369,NA,0.498691425743508,0.670487803737229,"governorate","baghdad"
"received_aid","population_group","1","idp_in_camp",0.415410385259632,NA,0.329512196262771,0.501308574256492,"governorate","baghdad"
"received_aid","population_group","0","idp_out_camp",0.859759591362624,NA,0.829004288678469,0.890514894046779,"governorate","baghdad"
"received_aid","population_group","1","idp_out_camp",0.140240408637376,NA,0.109485105953221,0.170995711321531,"governorate","baghdad"
"received_aid","population_group","0","returnee",0.982064756733669,NA,0.964103115572424,1.00002639789491,"governorate","baghdad"
"received_aid","population_group","1","returnee",0.0179352432663307,NA,-2.63978949141715e-05,0.0358968844275755,"governorate","baghdad"
"received_aid","population_group","0","idp_in_camp",0.744186046511628,NA,0.633197812140051,0.855174280883205,"governorate","kerbala"
"received_aid","population_group","1","idp_in_camp",0.255813953488372,NA,0.144825719116795,0.366802187859949,"governorate","kerbala"
"received_aid","population_group","0","idp_out_camp",0.85,NA,0.773106830726019,0.926893169273981,"governorate","kerbala"
"received_aid","population_group","1","idp_out_camp",0.15,NA,0.0731068307260192,0.226893169273981,"governorate","kerbala"
"received_aid","population_group","0","idp_out_camp",0.933333333333333,NA,0.879917007822671,0.986749658843996,"governorate","thi.qar"
"received_aid","population_group","1","idp_out_camp",0.0666666666666667,NA,0.013250341156004,0.120082992177329,"governorate","thi.qar"
"received_aid_cash","population_group","0","idp_in_camp",0.865533106038239,NA,0.808167767678017,0.922898444398461,"governorate","al.anbar"
"received_aid_cash","population_group","1","idp_in_camp",0.134466893961761,NA,0.0771015556015389,0.191832232321983,"governorate","al.anbar"
"received_aid_cash","population_group","0","idp_out_camp",0.868362277511046,NA,0.770153064607372,0.966571490414719,"governorate","al.anbar"
"received_aid_cash","population_group","1","idp_out_camp",0.131637722488954,NA,0.033428509585281,0.229846935392628,"governorate","al.anbar"
"received_aid_cash","population_group","0","returnee",0.946592304780526,NA,0.909744702920238,0.983439906640815,"governorate","al.anbar"
"received_aid_cash","population_group","1","returnee",0.0534076952194736,NA,0.0165600933591847,0.0902552970797624,"governorate","al.anbar"
"received_aid_cash","population_group","0","idp_in_camp",0.700803862782426,NA,0.623378779232031,0.778228946332821,"governorate","diyala"
"received_aid_cash","population_group","1","idp_in_camp",0.299196137217574,NA,0.221771053667179,0.376621220767969,"governorate","diyala"
"received_aid_cash","population_group","0","idp_out_camp",1,NA,1,1,"governorate","diyala"
"received_aid_cash","population_group","0","returnee",0.895875912916627,NA,0.780686870234381,1.01106495559887,"governorate","diyala"
