"stratum","population"
"al.baajreturnee",6162
"al.daurreturnee",10081
"al.fallujareturnee",94177
"al.hamdaniyareturnee",29874
"al.hatrareturnee",7566
"al.hawigareturnee",25562
"al.kadhmiyahreturnee",4945
"al.kaimreturnee",15084
"al.khalisreturnee",13435
"al.mahmoudiyareturnee",8676
"al.mosulreturnee",167465
"al.muqdadiyareturnee",8310
"al.mussyabreturnee",770
"al.ramadireturnee",97225
"al.rutbareturnee",4588
"al.shikhanreturnee",299
"al.shirqatreturnee",22839
"anareturnee",4842
"baladreturnee",13022
"beygeereturnee",22815
"daquqreturnee",975
"dibisreturnee",1206
"hadithareturnee",4525
"heetreturnee",29284
"khanaqinreturnee",16316
"kirkukreturnee",27113
"makhmourreturnee",7725
"samarrareturnee",9844
"sinjarreturnee",12041
"telafarreturnee",57839
"tikritreturnee",29486
"tilkaefreturnee",20512
"tooz.khurmatoreturnee",8090
"zakhoreturnee",1304
"al.adhamiyaidp_out_camp",491
"al.amadiyaidp_out_camp",507
"al.baajidp_out_camp",1188
"al.basrahidp_out_camp",287
"al.diwaniyaidp_out_camp",354
"al.fallujaidp_out_camp",2281
"al.hamdaniyaidp_out_camp",4340
"al.hatraidp_out_camp",211
"al.kadhmiyahidp_out_camp",1870
"al.kahlaidp_out_camp",204
"al.karkhidp_out_camp",1489
"al.khalisidp_out_camp",732
"al.kufaidp_out_camp",504
"al.kutidp_out_camp",664
"al.mahmoudiyaidp_out_camp",955
"al.mosulidp_out_camp",16145
"al.mussyabidp_out_camp",2341
"al.najafidp_out_camp",1418
"al.nasiriyaidp_out_camp",227
"al.ramadiidp_out_camp",1117
"al.rutbaidp_out_camp",516
"al.shikhanidp_out_camp",3633
"al.sulaymaniyahidp_out_camp",12488
"aqraidp_out_camp",4136
"baladidp_out_camp",1307
"baqubaidp_out_camp",3702
"chamchamalidp_out_camp",1692
"daquqidp_out_camp",861
"derbendikhanidp_out_camp",1053
"dibisidp_out_camp",348
"dokanidp_out_camp",774
"duhokidp_out_camp",5152
"erbilidp_out_camp",31104
"halabchaidp_out_camp",613
"heetidp_out_camp",232
"kalaridp_out_camp",2317
"kerbelaidp_out_camp",2208
"khanaqinidp_out_camp",1806
"kifriidp_out_camp",2188
"kirkukidp_out_camp",13629
"koysinjaqidp_out_camp",587
"raniaidp_out_camp",406
"rawanduzidp_out_camp",407
"samarraidp_out_camp",3039
"shaqlawaidp_out_camp",852
"sinjaridp_out_camp",4273
"sumailidp_out_camp",13647
"telafaridp_out_camp",1478
"tikritidp_out_camp",3113
"tilkaefidp_out_camp",3230
"tooz.khurmatoidp_out_camp",3975
"zakhoidp_out_camp",8473
"aafidp_in_camp",932
"htcidp_in_camp",553
"arbat.idpidp_in_camp",311
"ashti.idpidp_in_camp",1951
"tazadeidp_in_camp",247
"al.ahelidp_in_camp",94
"zayonaidp_in_camp",105
"alwand.1idp_in_camp",606
"alwand.2idp_in_camp",195
"muskar.saadidp_in_camp",118
"qoratuidp_in_camp",191
"bajed.kandalaidp_in_camp",2062
"bersive.1idp_in_camp",1388
"bersive.2idp_in_camp",1747
"chamishkuidp_in_camp",5067
"darkaridp_in_camp",729
"dawoudiaidp_in_camp",625
"kabarto.1idp_in_camp",2597
"kabarto.2idp_in_camp",2681
"khankeidp_in_camp",2829
"rwanga.communityidp_in_camp",2620
"shariyaidp_in_camp",3097
"baharkaidp_in_camp",919
"debaga.1idp_in_camp",1664
"harshmidp_in_camp",291
"al.kawtharidp_in_camp",103
"laylan.idpidp_in_camp",1409
"yahyawaidp_in_camp",365
"as.salamyiahidp_in_camp",2791
"essianidp_in_camp",2773
"haa.2idp_in_camp",2178
"hasansham.u2idp_in_camp",945
"hasansham.u3idp_in_camp",1210
"khazer.m1idp_in_camp",1137
"mamilianidp_in_camp",186
"mamrashanidp_in_camp",1744
"qayyarah.jadah.fiveidp_in_camp",1182
"qayyarah.jadah.oneidp_in_camp",4255
"sheikhanidp_in_camp",868
"karamahidp_in_camp",181
"idp_in_camp",NA
